UserID,recording_date,day_name,month_name,day_of_month,day_of_recording,year,duration,duration_buckets,age_category,Channel2,converted_recording_time,Name,Surname,Gender,Race,Age,Province,Email,Social_Media_Handle
97,2/4/2016 04:40,Thu,Feb,4,Weekday,2016,1899-12-31T00:03:12.000Z,Morning,Middle_Aged,SuperSport Blitz,1899-12-31T02:03:12.000Z,Lucas,Woolard,Male,coloured,48,Free State,Lucas 233@mail.com,@Lucas 23
132,1/11/2016 20:55,Mon,Jan,11,Weekday,2016,1899-12-31T00:11:51.000Z,Morning,Middle_Aged,Boomerang,1899-12-31T02:11:51.000Z,Carter,Wigfall,Male,black,45,Gauteng,Carter 33@mail.com,@Carter 3
212,1/6/2016 09:48,Wed,Jan,6,Weekday,2016,1899-12-31T00:06:01.000Z,Morning,Adult,CNN,1899-12-31T02:06:01.000Z,Kyle,Martello,Male,black,41,Gauteng,Kyle 63@mail.com,@Kyle 6
249,3/15/2016 15:33,Tue,Mar,15,Weekday,2016,1899-12-31T00:09:20.000Z,Morning,Adult,ICC Cricket World Cup 2011,1899-12-31T02:09:20.000Z,Markus,Wigfall,Male,black,40,Gauteng,Markus 192@gmail.com,@Markus 19
649,1/11/2016 06:59,Mon,Jan,11,Weekday,2016,1899-12-31T00:05:00.000Z,Morning,Youth,Channel O,1899-12-31T02:05:00.000Z,Bret,Gettys,Male,black,31,Mpumalanga,Bret 313@mail.com,@Bret 31
850,3/6/2016 00:08,Sun,Mar,6,Weekday,2016,1899-12-31T00:07:20.000Z,Morning,Youth,E! Entertainment,1899-12-31T02:07:20.000Z,Romeo,Crotty,Male,coloured,28,Western Cape,Romeo 373@mail.com,@Romeo 37
991,1/20/2016 13:43,Wed,Jan,20,Weekday,2016,1899-12-31T00:00:09.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:09.000Z,Lane,Paradis,Male,black,26,Gauteng,Lane 111@yahoo.com,@Lane 11
1373,2/28/2016 10:38,Sun,Feb,28,Weekday,2016,1899-12-31T00:00:00.000Z,Morning,Youth,Cartoon Network,1899-12-31T02:00:00.000Z,Raymundo,Mina,Male,white,19,KwaZulu-Natal,Raymundo 435@mailxyz.com,@Raymundo 43
1445,3/6/2016 15:47,Sun,Mar,6,Weekday,2016,1899-12-31T00:00:33.000Z,Morning,null,CNN,1899-12-31T02:00:33.000Z,Kip,Luthy,Male,coloured,13,Northern Cape,Kip 141@yahoo.com,@Kip 14
3871,3/30/2016 17:02,Wed,Mar,30,Weekday,2016,1899-12-31T00:01:10.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:01:10.000Z,None,None,Not Specified,None,0,None,Adela 222@gmail.com,None
9194,1/19/2016 18:55,Tue,Jan,19,Weekday,2016,1899-12-31T00:00:45.000Z,Morning,Adult,DStv Events 1,1899-12-31T02:00:45.000Z,Shane,Mina,Male,coloured,36,Western Cape,Shane 22@gmail.com,@Shane 2
11883,1/8/2016 06:12,Fri,Jan,8,Weekday,2016,1899-12-31T00:01:55.000Z,Morning,null,DStv Events 1,1899-12-31T02:01:55.000Z,None,None,Not Specified,None,0,None,Teresia 484@abcmail.com,None
18031,1/6/2016 23:00,Wed,Jan,6,Weekday,2016,1899-12-31T00:24:51.000Z,Morning,Adult,CNN,1899-12-31T02:24:51.000Z,Lillie,Langenfeld,Female,black,37,Gauteng,Lillie 463@mail.com,@Lillie 46
18072,1/16/2016 17:09,Sat,Jan,16,Weekday,2016,1899-12-31T00:04:02.000Z,Morning,Adult,Cartoon Network,1899-12-31T02:04:02.000Z,Art,Creager,Male,white,37,Western Cape,Art 402@gmail.com,@Art 40
18136,1/22/2016 10:26,Fri,Jan,22,Weekday,2016,1899-12-31T00:00:18.000Z,Morning,Adult,Cartoon Network,1899-12-31T02:00:18.000Z,Stephen,Sytsma,Male,coloured,35,Gauteng,Stephen 151@yahoo.com,@Stephen 15
20315,3/30/2016 18:07,Wed,Mar,30,Weekday,2016,1899-12-31T00:05:28.000Z,Morning,null,E! Entertainment,1899-12-31T02:05:28.000Z,None,None,Not Specified,None,0,None,Yolonda 255@mailxyz.com,None
23925,1/2/2016 07:18,Sat,Jan,2,Weekday,2016,1899-12-31T00:01:35.000Z,Morning,Adult,DStv Events 1,1899-12-31T02:01:35.000Z,Art,Pool,Male,black,43,KwaZulu-Natal,Art 405@mailxyz.com,@Art 40
24110,1/26/2016 15:02,Tue,Jan,26,Weekday,2016,1899-12-31T00:01:39.000Z,Morning,Adult,Africa Magic,1899-12-31T02:01:39.000Z,Adela,Vital,Female,black,38,Eastern Cape,Adela 201@yahoo.com,@Adela 20
27318,3/26/2016 18:48,Sat,Mar,26,Weekday,2016,1899-12-31T00:02:00.000Z,Morning,null,ICC Cricket World Cup 2011,1899-12-31T02:02:00.000Z,None,None,Not Specified,None,0,None,Bess 32@gmail.com,None
